"Rqrmnt","Eff Date","Line","Dtl Seq","Key","Dtl Type","Incl Mode","Recall","Interp","Rq Group","Rqrmnt","Line","Ref Nbr","Ref Data","Crse Lst","Institution","Career","Cond Code","Operator","Value","Ignore msng tgt","Test ID","Component","Score","Max Age","Select Method","Crse Attr","CrsAtr Val","Condition"
"000002672","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001319","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002673","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001321","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002674","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001322","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002675","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001323","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002677","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001324","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002678","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001325","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002679","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001326","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002680","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001327","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002681","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001328","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002682","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001329","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002683","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001330","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002684","01/01/2013","0010","1","0001","CLST","","","A","","","","0","","000001331","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002689","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001334","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002690","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001335","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002691","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001337","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002692","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001338","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002693","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001339","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002937","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001517","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002938","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001518","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002968","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001538","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002975","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001543","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000002996","01/01/1901","0010","1","0001","CLST","","","A","","","","0","","000001556","QNS01","","NA","EQ","","N","","","0.00","0","","","",""
"000001372","01/01/1901","0050","1","0005","COND","","","","","","","0","","","QNS01","UGRD","TST","GE","","N","READ EXEMPT","S","9999.00","999","HS","","",""
"000001373","01/01/1901","0050","1","0005","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","WRIT EXEMPT","S","9999.00","999","HS","","",""
"000001374","01/01/1901","0050","1","0005","COND","","","A","","","","0","","","QNS01","UGRD","TST","GE","","N","MATH EXEMPT","R","9999.00","999","HS","","",""
"000001372","01/01/1901","0040","1","0004","COND","","","","","","","0","","","QNS01","UGRD","TST","GE","","N","READ EXEMPT","R","9999.00","999","HS","","",""
